Exposure.ID,wasp.lineage,wasp.age.days,host.species,host.plant,pupa.mass,pupa.age.days,attempted2,wasp_success,bfly_success,attempted_binary,host.fate.no8,start3
5c3d,P. puparum,17.014,D. plexippus,A. curassavica,0.98,0.638888889,1b,0,1,Attempt,Butterfly,0013-09
5c3e,P. puparum,17.014,D. plexippus,A. incarnata,1.1,0.638888889,0,0,1,No attempt,Butterfly,0013-09
PC15.9.25.1,P. cassotis,17.08,D. plexippus,A. incarnata,0.825,0.163194444,2,1,0,Attempt,Wasps emerged,0015-09
PCO16.8.5.1,P. cassotis,17.285,D. plexippus,A. incarnata,0.767,0.659722222,2,1,0,Attempt,Wasps emerged,0016-08
PCO16.8.5.2,P. cassotis,17.285,D. plexippus,A. incarnata,1.171,0.659722222,1d,0,0,Attempt,"Dead butterfly, no wasps",0016-08
PC14.7.23.1,P. cassotis,17.292,D. plexippus,A. curassavica,1.44,0.1875,2,1,0,Attempt,Wasps emerged,0014-07
PCO16.8.4.2,P. cassotis,17.333,D. plexippus,A. incarnata,1.289,0.583333333,1d,0,0,Attempt,Dead wasps in host,0016-08
PCF16.9.27.1,P. cassotis,17.417,D. plexippus,A. incarnata,1.159,0.25,2,1,0,Attempt,Wasps emerged,0016-09
PCO16.8.29.1,P. cassotis,18.021,D. plexippus,A. incarnata,0.725,0.229166667,0,0,0,No attempt,"Dead butterfly, no wasps",0016-08
PCO16.8.4.3,P. cassotis,18.292,D. plexippus,A. incarnata,1.02,0.583333333,1b,0,1,Attempt,Butterfly,0016-08
PCO16.8.5.3,P. cassotis,18.41,D. plexippus,A. incarnata,1.011,0.659722222,1d,0,0,Attempt,Dead wasps in host,0016-08
5c8c,P. puparum,18.979,D. plexippus,A. curassavica,1.43,0.166666667,0,0,1,No attempt,Butterfly,0013-09
5c8d,P. puparum,18.979,D. plexippus,A. curassavica,1.27,0.166666667,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
PC16.4.9.1,P. cassotis,19.163,D. plexippus,A. incarnata,0.892,0.871527778,1d,0,0,Attempt,"Dead butterfly, no wasps",0016-04
5c5a,P. puparum,19.181,D. plexippus,A. curassavica,0.78,0.013888889,0,0,1,No attempt,Butterfly,0013-09
PC16.2.12.1,P. cassotis,19.208,D. plexippus,A. incarnata,0.734,0.041666667,2,1,0,Attempt,Wasps emerged,0016-02
PC15.7.18.1,P. cassotis,19.236,D. plexippus,A. curassavica,1.497,0.111111111,0,0,1,No attempt,Butterfly,0015-07
PC15.7.19.4,P. cassotis,19.319,D. plexippus,A. curassavica,1.298,0.611111111,1d,0,0,Attempt,"Dead butterfly, no wasps",0015-07
PC14.7.22.3,P. cassotis,19.333,D. plexippus,A. incarnata,1.27,0.291666667,0,0,1,No attempt,Butterfly,0014-07
dptim1,P. puparum,19.519,D. plexippus,A. incarnata,1.28,0,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
5c8e,P. puparum,19.965,D. plexippus,A. incarnata,1.02,0.006944444,0,0,1,No attempt,Butterfly,0013-09
5c11g,P. puparum,19.969,D. plexippus,A. curassavica,0.78,0.024305556,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
5c11h,P. puparum,19.969,D. plexippus,A. curassavica,0.8,0.024305556,0,0,1,No attempt,Butterfly,0013-09
