county,geoid,pollutant,noncancer_air_risk,cancer_air_risk,combined_air_score
BELTRAMI,270074507023,All pollutant sum,0.19,5.38e-6,0.5379999999999999
BELTRAMI,270079400011,All pollutant sum,0.02,4.62e-7,0.04619999999999999
BELTRAMI,270079400012,All pollutant sum,0.01,2.63e-7,0.0263
BELTRAMI,270079400013,All pollutant sum,0.01,3.24e-7,0.0324
BELTRAMI,270079400021,All pollutant sum,0.04,9.26e-7,0.09259999999999999
BENTON,270090201001,All pollutant sum,0.05,7.49e-7,0.0749
BENTON,270090201002,All pollutant sum,0.08,1.23e-6,0.123
BENTON,270090201003,All pollutant sum,0.14,2.69e-6,0.26899999999999996
BENTON,270090201004,All pollutant sum,0.22,4.36e-6,0.43599999999999994
BENTON,270090201005,All pollutant sum,0.08,1.32e-6,0.132
BENTON,270090202021,All pollutant sum,0.09,1.58e-6,0.15799999999999997
BENTON,270090202022,All pollutant sum,0.07,9.84e-7,0.09839999999999999
BENTON,270090202031,All pollutant sum,0.22,4.9e-6,0.48999999999999994
BENTON,270090202032,All pollutant sum,0.11,2.1e-6,0.20999999999999996
BENTON,270090202051,All pollutant sum,0.16,3.7e-6,0.37
BENTON,270090202052,All pollutant sum,0.17,4.04e-6,0.40399999999999997
BENTON,270090202061,All pollutant sum,0.63,1.26e-5,1.2599999999999998
BENTON,270090202062,All pollutant sum,0.29,6.68e-6,0.668
BENTON,270090202063,All pollutant sum,0.43,9.09e-6,0.9089999999999998
BENTON,270090203001,All pollutant sum,0.16,3.28e-6,0.32799999999999996
BENTON,270090203002,All pollutant sum,0.11,2.09e-6,0.20899999999999996
BENTON,270090211011,All pollutant sum,0.71,1.72e-5,1.72
BENTON,270090211012,All pollutant sum,0.44,1.05e-5,1.0499999999999998
BENTON,270090211013,All pollutant sum,0.79,1.84e-5,1.8399999999999999
BENTON,270090211014,All pollutant sum,0.65,1.37e-5,1.3699999999999999
BENTON,270090211015,All pollutant sum,0.81,1.96e-5,1.9599999999999997
BENTON,270090211021,All pollutant sum,0.78,1.82e-5,1.8199999999999996
BENTON,270090211022,All pollutant sum,0.62,1.48e-5,1.48
BENTON,270090212001,All pollutant sum,0.89,2.04e-5,2.04
BENTON,270090212002,All pollutant sum,0.82,1.85e-5,1.8499999999999996
BENTON,270090212003,All pollutant sum,0.83,1.91e-5,1.91
BENTON,270090212004,All pollutant sum,0.39,8.83e-6,0.8829999999999999
BENTON,270090212005,All pollutant sum,0.48,1.13e-5,1.13
BIG STONE,270119501001,All pollutant sum,0.05,5.02e-7,0.050199999999999995
BIG STONE,270119502001,All pollutant sum,0.03,3.67e-7,0.036699999999999997
BIG STONE,270119502002,All pollutant sum,0.05,6.6e-7,0.066
BIG STONE,270119503001,All pollutant sum,0.09,1.67e-6,0.167
BIG STONE,270119503002,All pollutant sum,0.09,1.77e-6,0.177
BIG STONE,270119503003,All pollutant sum,0.1,2.33e-6,0.23299999999999998
BLUE EARTH,270131701001,All pollutant sum,0.12,1.93e-6,0.193
BLUE EARTH,270131701002,All pollutant sum,0.12,1.88e-6,0.18799999999999997
BLUE EARTH,270131701003,All pollutant sum,0.2,4.52e-6,0.45199999999999996
BLUE EARTH,270131702001,All pollutant sum,0.23,5.05e-6,0.505
BLUE EARTH,270131702002,All pollutant sum,0.19,4.14e-6,0.414
BLUE EARTH,270131703001,All pollutant sum,0.5,1.19e-5,1.19
BLUE EARTH,270131703002,All pollutant sum,0.58,1.85e-5,1.8499999999999996
BLUE EARTH,270131703003,All pollutant sum,0.56,1.59e-5,1.5899999999999999
BLUE EARTH,270131704001,All pollutant sum,0.38,1.06e-5,1.0599999999999998
BLUE EARTH,270131704002,All pollutant sum,0.52,1.64e-5,1.6399999999999997
BLUE EARTH,270131704003,All pollutant sum,0.48,1.51e-5,1.5099999999999998
BLUE EARTH,270131705001,All pollutant sum,0.53,1.68e-5,1.6799999999999997
BLUE EARTH,270131705002,All pollutant sum,0.4,1.12e-5,1.1199999999999999
BLUE EARTH,270131705003,All pollutant sum,0.39,1.11e-5,1.1099999999999999
BLUE EARTH,270131706001,All pollutant sum,0.68,2.2e-5,2.1999999999999997
BLUE EARTH,270131706002,All pollutant sum,0.52,1.64e-5,1.6399999999999997
BLUE EARTH,270131706003,All pollutant sum,0.64,2.04e-5,2.04
BLUE EARTH,270131707001,All pollutant sum,0.57,1.73e-5,1.73
BLUE EARTH,270131707002,All pollutant sum,0.55,1.75e-5,1.7499999999999998
BLUE EARTH,270131708001,All pollutant sum,0.18,4.68e-6,0.46799999999999997
BLUE EARTH,270131708002,All pollutant sum,0.59,1.75e-5,1.7499999999999998
BLUE EARTH,270131708003,All pollutant sum,0.21,5.93e-6,0.593
